Gene	Category	Start	End	MaxLogFC	Expression	Direction	Upstream	P-Value	Q-Value
thrA	downregulated	336	2799	-1.14681293540991	increased_insertions	reverse		5.79972695193216e-08	6.49367688983291e-06
thrB	knockout	2800	3733	1.14681293540991	increased_insertions	reverse	NA	5.79972695193216e-08	6.49367688983291e-06
caiD	unclassified	35376	36162	-1.15734706284935	decreased_insertions	forward	39150_39232	0.0001890574620534	0.0055704894311229
caiC	downregulated	36270	37824	-1.15734706284935	decreased_insertions	forward		0.0001890574620534	0.0055704894311229
folA	downregulated	49822	50302	-1.5370662339618	increased_insertions	reverse		1.36421326855887e-07	1.37231328484094e-05
50326_50363	downregulated	50326	50363	-1.5370662339618	increased_insertions	reverse		1.36421326855887e-07	1.37231328484094e-05
yabI	unclassified	67837	68602	1.81853818551095	increased_insertions	forward	sgrS	4.58559557321387e-07	3.73047364430842e-05
68622_68707	knockout	68622	68707	1.81853818551095	increased_insertions	forward	sgrS	4.58559557321387e-07	3.73047364430842e-05
thiQ	downregulated	68715	69414	-1.81853818551095	increased_insertions	forward		4.58559557321387e-07	3.73047364430842e-05
leuL	knockout	80108	80195	-2.25826014718645	decreased_insertions	forward	leuO	8.31173386368756e-06	0.0004573584838839
gluQ	upregulated	155672	156599	2.32846218832122	decreased_insertions	reverse		4.8830410411375e-08	5.51526635488477e-06
yafS	unclassified	231302	232025	1.96877705859345	increased_insertions	forward	dnaQ__3prime	0.0004979406761376	0.0114490788320506
rnhA	knockout	232021	232489	1.96877705859345	increased_insertions	forward	dnaQ__3prime	0.0004979406761376	0.0114490788320506
dnaQ	upregulated	232553	233285	1.96877705859345	increased_insertions	forward		0.0004979406761376	0.0114490788320506
ykfG	upregulated	259966	260443	1.13163084271234	increased_insertions	reverse		9.75544961877694e-06	0.0005212081713334
ecpA	upregulated	305794	306382	1.08344409367892	decreased_insertions	reverse		0.0300078659829355	0.177810070131743
phoR	downregulated	413344	414640	-3.12137287393731	decreased_insertions	reverse		0.0011234043238146	0.020230704997815
