Gene	Category	Start	End	MaxLogFC	Expression	Direction	Upstream	P-Value	Q-Value
pdxA	upregulated	52426	53416	2.01942873353006	decreased_insertions	reverse	rsmA__3prime	2.87175190038808e-06	0.0004005136650407
leuL	knockout	80108	80195	-2.20989486586694	decreased_insertions	forward	leuO	0.0015715997289162	0.0468568166208001
gluQ	upregulated	155672	156599	1.80437972341192	decreased_insertions	reverse		8.32810350354191e-06	0.0009606765789891
ybcO	unclassified	568539	568830	-2.2758089604695	decreased_insertions	forward	rusA__3prime	0.149744114348155	0.559234788246964
rusA	unclassified	568826	569189	-2.38123347038895	decreased_insertions	forward	rusA__3prime/quuD__3prime	0.0020694424711511	0.0570621479193519
ylcG	knockout	569185	569326	-2.38123347038895	decreased_insertions	forward	quuD__3prime	0.0020694424711511	0.0570621479193519
quuD	upregulated	569411	569795	2.38123347038895	decreased_insertions	forward		0.0020694424711511	0.0570621479193519
essD	upregulated	572853	573069	3.09588987709415	decreased_insertions	forward		1.1904612185036e-06	0.0001915726822391
bioF	unclassified	805836	806991	1.50475375724598	increased_insertions	forward	bioC__3prime	5.5036373759415e-05	0.0044001054995425
aqpZ	upregulated	910807	911503	1.82644837283404	decreased_insertions	reverse		4.08264903027723e-06	0.0005283032023509
ybjD	unclassified	911928	913587	1.57896482914877	increased_insertions	forward	macA	1.4369937240540102e-09	4.5092863060815e-07
phoQ	knockout	1183771	1185232	-1.96391361042954	decreased_insertions	forward	1186035_1186058	7.5331770397912e-07	0.0001348675034748
ymfE	upregulated	1192988	1193693	1.21604031265694	decreased_insertions	reverse		0.0001233613778147	0.0079490895215702
minE	downregulated	1219734	1220001	-1.39199820388271	decreased_insertions	forward		5.7157176068607e-06	0.0007033694843266
ychJ	knockout	1284129	1284588	-2.72020777951402	decreased_insertions	forward	rssA__3prime	5.53869987932173e-07	0.0001086277513831
rssA	knockout	1284700	1285606	-2.72020777951402	decreased_insertions	forward	rssA__3prime	5.53869987932173e-07	0.0001086277513831
hns	upregulated	1287964	1288378	1.64253073272457	decreased_insertions	reverse		3.02696710721051e-05	0.0027334166280364
pspC	upregulated	1363281	1363641	2.00151649723248	decreased_insertions	forward		0.0011374391439338	0.0385868544179932
ycjV	knockout	1375077	1376159	-1.74591473047084	decreased_insertions	forward	ompG__3prime	1.3730438827831e-05	0.0013887576679349
ompG	upregulated	1376203	1377109	2.34521037782056	decreased_insertions	reverse	pspF__3prime	0.0005202151425958	0.0220599340198085
1377123_1377197	knockout	1377123	1377197	-2.34521037782056	decreased_insertions	reverse	pspF__3prime	0.0005202151425958	0.0220599340198085
rydC	unclassified	1485699	1485763	-2.45176828399637	decreased_insertions	forward	ydcA__3prime	1.29539704895498e-05	0.0013219368909335
ydcA	upregulated	1485933	1486107	2.45176828399637	decreased_insertions	forward		1.29539704895498e-05	0.0013219368909335
ydeS	upregulated	1582565	1583096	1.12168877940002	increased_insertions	reverse		0.0718041615748795	0.411922228559364
sufE	upregulated	1753130	1753547	1.29195254447099	increased_insertions	reverse		0.0067237154979086	0.119710747418084
yeaH	unclassified	1863211	1864495	-2.77039082272885	decreased_insertions	forward	yeaI__3prime	0.0011063271674157	0.0376730709889173
yeaI	upregulated	1864641	1866117	2.67647394987613	decreased_insertions	reverse	mipA__3prime	0.0005201941797448	0.0220599340198085
uspC	over_50_perc_inactivation	1973233	1973662	-3.81029617719385	decreased_insertions	reverse	flhD__3prime	0.0009045167340931	0.0331973510126819
wbbL	upregulated	2094876	2096870	1.01360706938851	decreased_insertions	reverse		8.43875554105959e-05	0.0060875436523781
yehC	upregulated	2184404	2185124	1.12476994481761	decreased_insertions	reverse		7.37679318432895e-05	0.0055115183362914
yohP	downregulated	2222460	2222544	-1.14518725715934	decreased_insertions	reverse		0.0013877187084451	0.0434611966861254
yfaL	upregulated	2333895	2337648	3.32784819098887	decreased_insertions	reverse		1.31179633800651e-06	0.0002084261725906
iscS	upregulated	2653675	2654890	1.73367026582918	decreased_insertions	reverse		1.03031344256367e-05	0.0011148702009533
pcm	upregulated	2862251	2862878	1.47766400902915	decreased_insertions	reverse	nlpD__3prime	6.57373601394144e-07	0.0001250205067378
umpG	knockout	2862871	2863633	-1.76067451080141	decreased_insertions	reverse	pcm__3prime	7.4263314540813e-11	3.10717708038761e-08
ispF	upregulated	2864659	2865139	3.29708801677336	decreased_insertions	reverse		1.59142183813833e-10	5.7072934035178e-08
cmtB	upregulated	3072245	3072689	2.56169062484467	decreased_insertions	reverse		3.92549862974728e-06	0.0005132589458394
yhaB	downregulated	3261212	3261752	-1.20943790753353	decreased_insertions	reverse		1.48196727750996e-05	0.0014714032437049
deaD	upregulated	3299329	3301219	3.68510092830991	decreased_insertions	reverse		2.0858933855699102e-21	2.61821337756736e-18
yrbN	upregulated	3301211	3301292	3.68510092830991	decreased_insertions	reverse		2.0858933855699102e-21	2.61821337756736e-18
sspA	downregulated	3370140	3370779	-3.21841245835176	increased_insertions	forward		0.0020234994684966	0.0564421451745986
yhdT	downregulated	3400733	3400976	-1.07615927756628	increased_insertions	reverse	csrD__3prime	2.13036242395554e-05	0.0020257809958704
acrE	upregulated	3407222	3408380	1.7186331694447	increased_insertions	forward		0.797481800288227	0.952798608584888
yrdB	unclassified	3423124	3423382	1.2005329730175	increased_insertions	forward	def	9.73437077544331e-06	0.001062485408464
yrhB	downregulated	3578118	3578403	-1.20681163647044	decreased_insertions	reverse	ryhB__3prime	0.0148164776967303	0.187287440130271
rhsB	unclassified	3612551	3616787	-1.00029629230064	decreased_insertions	forward	yhhH__3prime	5.74773505019535e-05	0.0045661753386108
yhhH	knockout	3616758	3617142	-1.00029629230064	decreased_insertions	forward	yhhH__3prime	5.74773505019535e-05	0.0045661753386108
yhiL	upregulated	3626211	3627818	2.04615659734976	decreased_insertions	reverse		1.82046770424777e-07	4.00886151293298e-05
arrS	downregulated	3651345	3651414	-1.88971210188818	increased_insertions	forward		7.11579711490936e-07	0.0001294456309946
gadE	knockout	3651725	3652253	3.81400812293839	increased_insertions	forward	mdtE__3prime	3.52602981870046e-36	1.1064681571082001e-32
xylA	upregulated	3722802	3724125	1.00975730547386	decreased_insertions	reverse		0.890023880145086	0.977440353557644
waaB	upregulated	3796417	3797497	1.19632789813818	decreased_insertions	reverse		1.38300436975671e-05	0.0013887576679349
wecA	knockout	3961275	3962379	-1.85929162821481	decreased_insertions	forward	wecA__3prime	0.0001267187212865	0.0080739765968961
tatD	unclassified	4016913	4017696	-3.74950845157737	decreased_insertions	forward	ubiD	0.0023813553598172	0.0621429781214676
fdhD	unclassified	4079375	4080209	-1.25834259951864	decreased_insertions	forward	yiiG__3prime	0.0026461922265766	0.0666967968433525
yiiG	upregulated	4080361	4081417	1.25834259951864	decreased_insertions	forward		0.0026461922265766	0.0666967968433525
yiiR	downregulated	4102242	4102683	-1.19940392364703	decreased_insertions	reverse		0.0125569411406809	0.169478199137448
yjbL	knockout	4250248	4250503	-2.61559440609231	decreased_insertions	reverse	zur__3prime	5.84557155795248e-06	0.0007110070015101
yjcF	upregulated	4271710	4273003	1.52459971185607	decreased_insertions	reverse	ryjA__3prime	0.0024064000768787	0.0625365088301915
ulaE	downregulated	4412662	4413517	-1.11905462146271	increased_insertions	reverse	ulaG__3prime	1.12644354185852e-05	0.001178259944784
ytfB	upregulated	4417895	4418534	1.82120828640932	decreased_insertions	reverse		3.10415305319208e-05	0.0027523539627091
idnO	unclassified	4482403	4483168	-1.14784717608101	decreased_insertions	forward	idnK	2.64480543840013e-06	0.0003730067175595
idnD	downregulated	4483191	4484223	-1.14784717608101	decreased_insertions	forward		2.64480543840013e-06	0.0003730067175595
fimE	knockout	4531853	4532450	-4.31148150513802	decreased_insertions	reverse	nanC__3prime	6.52488884935051e-74	4.09502024185238e-70
fimA	upregulated	4532931	4533480	2.0	decreased_insertions/increased_insertions	nodirection/reverse	nanC__3prime/NA	4.7521107270438995e-12	2.48535391024396e-09
yjjQ	upregulated	4593293	4594019	1.18587366015947	decreased_insertions	forward		4.23132155655196e-05	0.0035407698785226
thrC	knockout	3733	5020	1.67058583011581	increased_insertions	forward	yaaX	9.26376559343974e-08	2.19393935337463e-05
nhaA	knockout	17488	18655	-1.55118061177896	decreased_insertions	forward	nhaA__3prime	6.90295590707195e-08	1.73310256374151e-05
apaH	knockout	50379	51222	1	increased_insertions	nodirection	NA	0.0001497487458057	0.0092258999945372
surA	knockout	53415	54702	-2.01942873353006	decreased_insertions	reverse	pdxA__3prime	2.87175190038808e-06	0.0004005136650407
rapA	knockout	60357	63264	1	increased_insertions	nodirection	NA	3.0929637509196e-23	4.85286012519285e-20
araC	knockout	66873	67752	-1.33884979731385	decreased_insertions	forward	araC__3prime	0.0016650074640422	0.0487160225842851
rsmH	over_50_perc_inactivation	86580	87522	-2.13030684537062	decreased_insertions	forward	rsmH__3prime	1.32888914789532e-06	0.0002085027073047
ddlB	knockout	98719	99640	-4.03712123954097	decreased_insertions	forward	ddlB__3prime	4.83561469990646e-10	1.55632399264682e-07
dksA	knockout	156635	157091	-1.80437972341192	decreased_insertions	reverse	gluQ__3prime	8.32810350354191e-06	0.0009606765789891
mrcB	knockout	161216	163751	1.04768682128914	increased_insertions	forward	mrcB__3prime	4.9702633877015e-07	9.90265810197289e-05
degP	knockout	177370	178795	1.08444036039853	increased_insertions	forward	degP__3prime	1.70056898640608e-05	0.0016676204622944
yafT	decreased_mutants_at_end_of_gene	233821	234607	-1.0	decreased_insertions	nodirection	NA	7.0394615597885e-05	0.0052909773352374
tig	knockout	450588	451887	-1.0	decreased_insertions	nodirection	NA	3.18642097639833e-15	2.66639707305013e-12
